,No,Response
11,11,"Les portes autoclaves et le becquet lui font perdre de sa pureté, ça donne presque des montants de Clio III :/"
12,12,"Moi j'aime bien, elle reste assez fidèle au concept a quelques trucs."
13,13,
14,14,
15,15,"Quelqu'un peut me donner le coût d'entretion (révisions,...) de ce genre de voiture?Merci"
16,16,
17,17,"tu enleve les vidange + filtres a huile, filtre a air, bougies courroie de distrib ... bref ca devrait en dehors de la location pas couter très chère."
18,18,et l'usure moindre des disques et plaquettes vu le frein moteur au lever de pied   
19,19,
20,20,Shop ?
21,21,
22,22,Plutot jolie.   
23,23,
24,24,Nouveaux spyshots
25,25,Pas mal les sièges avant !
26,26,"Citation :Selon certaines rumeurs, Zoé aura très vite droit à une version 2.0 puisque l'on évoque l'arrivée en 2014 d'un pack batteries lui autorisant 350 km d'autonomie. Le prix tournerait autour de 15,000 euros auquel il faudra rajouter la location des batteries.http://www.caradisiac.com/Rena [...] xtor=AD-20"
27,27,Il est temps de créer une section spécifique   
28,28,"Bel effort de Renault, la première électrique qui ressemble à une vraie voiture (enfin depuis les 106 et saxo electric ). Mais j'ai du mal à croire que ce sera vendu 15 000 euros ... auquel cas ça pourrait avoir son petit succès !"
29,29,elle est jolie 
30,30,"Très mignonne, même si le concept reste un poil mieux   "
31,31,
32,32,
33,33,Mignonne. 
34,34,
35,35,D'autres photos :http://www.turbo.fr/diaporama/ [...] tos-38734/
36,36,Reprise du message précédent :http://img.turbo.fr/03C0021C05 [...] lt-zoe.jpghttp://img.turbo.fr/03C0021C05 [...] lt-zoe.jpghttp://www.forum-clio.com/inde [...] 1666;imageD'autres photos :http://www.turbo.fr/diaporama/ [...] tos-38734/
37,37,
38,38,elle est plus jolie que le prototype de la clio 4   
39,39,Difficile à dire... la CLio 4 semble assise plus basse et son design sera plus sportif.
40,40,jolie cette zoe    mais j'aime pas trop l'interieur surtout la console centrale   et les sieges toujours sans maintien lateral   
41,41,
42,42,
43,43,"Mais comment çà marche   La voici enfin : la Zoé, quatrième et dernière modèle de la série des véhicules électriques de Renault. Après les Kangoo ZE, Fluence ZE, Twizy bientôt en concessions, la petite Zoe sera livrée dans quelques mois.Quel tarif ?Plutôt compétitive, la Renault Zoe s’affiche à partir de 15700 euros, déduction faite des 5000 euros de bonus en France. Le loyer de la batterie s’ajoute en plus : Renault demande 79 euros par mois pour un usage annuel de 12500 km.Quelle autonomie ?L’autonomie maximale de la Renault Zoe est annoncée à 210 km en usage normalisé, grâce au système baptisé « Range OptimiZER ». Pour des parcours périurbains, l’autonomie réelle pourra être comprise entre 100 et 150 km. Freinage récupératif, pneumatiques Michelin Energy EV, pompe à chaleur : la Zoe marque des progrès par rapport aux Fluence ZE et Kangoo ZE commercialisés l’année dernière.Pour la charge, la Renault Zoe apporte aussi un plus avec une adaptabilité à toutes les prises existantes. Selon les prises utilisées, la charge prend de 30 minutes à 9 heures.A bord de la Renault ZoeL’habitacle de la nouvelle Renault Zoe se démarque des autres modèles Renault, avec une console centrale qui rappelle un peu celle de la cousine Nissan Leaf. La Zoe étrenne le nouveau système multimedia Renault appelé R-Link, avec écran tactile 7 pouces, navigation et services connectés.Avec une pompe à chaleur, la Zoe bénéficie d’une climatisation réversible qui épargne les batteries.A conduireRenault annonce une vitesse de pointe de 135 km/h pour sa Zoe. Le moteur électrique délivre une puissance équivalente à 88 ch, et un couple de 220 Nm.Cette nouvelle voiture électrique aura de sérieux atouts face aux petites Citroën C-Zero et Peugeot Ion, et même face à une Nissan Leaf moins adaptée à la ville.Ecrit par Rabatel Sébastien le 07 mars 2012"
44,44,Zoé 
45,45,"Elle est très très jolie... Par contre, sur le site renault suisse, j'ai fait le test (avec la dizaine de questions), et ils me disent que je n'ai pas le profil pour    Dommage, car j'aurais bien craqué... mais il me faudrait une meilleure autonomie..."
46,46,"Je trouve cette nouvelle Zoé très attrayante !Le problème reste l'autonomie surtout si c'est une voiture unique... pour une 2ème voiture, ça me semble vraiment pas mal.J'imagine que dans 2/3 ans, quand les batteries auront évoluées, il sera possible de faire un upgrade et améliorer l'autonomie."
47,47, dommage que l'autonomie soit si faible 
48,48,"210kms (en mode éco si j'ai bien compris...) soit un bon 150kms réel et mixte, pas trop mal je trouve. "
49,49,
50,50,"Oui, au vue du prix, c'est plus intéressant qu'un diesel en effet..."
51,51,
52,52,"   P'tite question est-ce que la ""Zoé"" ou un autre modèle de la gamme ZE poura comme sa cousine ci dessous redistribuer son énergie ?Copyright ReutersLa voiture électrique Leaf de Nissan pourra désormais alimenter les foyers japonais en électricité. En plus d'une sécurité de l'approvisionnement électrique pour deux jours, cette solution serait plus économique.Actuellement, 35 des 54 réacteurs nucléaires japonais sont à l'arrêt et les Japonais subissent des pannes de courant chroniques. Nissan, groupe détenu à plus de 40% par le français Renault, a compris l'enjeu économique. Le constructeur automobile japonais a présenté un système permettant d'utiliser la batterie de sa voiture électrique Leaf comme alimentation domestique. La batterie se recharge le jour via l'énergie solaire et sur le secteur pendant la nuit.L'énergie accumulée dans la batterie de la voiture peut ainsi être mise à profit pour effectuer des tâches domestiques quotidiennes. Mais l'intérêt est aussi économique pour les foyers nippons, qui peuvent recharger leur batterie la nuit, lorsque l'électricité est moins chère pour l'utiliser aux heures de pics de consommation pendant le jour. Ce dispositif devrait assurer deux jours d'autonomie électrique pour un ménage japonais, soit une capacité de stockage de 24 kilowatts-heure. La batterie au lithium-ion de Nissan disposera d'une puissance de 6 kilowatts, ce qui sera suffisant pour alimenter les principaux appareils électroménagers du foyer, comme le réfrigérateur, le climatiseur et le lave-linge.Les premiers exemplaires de la Leaf ont été livrés en décembre au Japon et aux Etats-Unis, où Nissan a reçu respectivement 6.000 et 20.000 précommandes. Le nouveau dispositif ne sera commercialisé qu""au printemps prochain, a précisé le constructeur, mais les modèles déjà en circulation pourront aussi en bénéficier.Les autres constructeurs japonais s'y mettent aussi. Mitsubishi cherche à adapter la batterie de sa voiture électrique i MiEV pour qu'elle permette l'alimentation de petits appareils de la vie quotidienne, comme un cuiseur de riz ou un micro-ondes. Et le constructeur Toyota planche aussi sur le sujet avec son modèle hybride Prius."
53,53,
54,54,"Citation :   P'tite question est-ce que la ""Zoé"" ou un autre modèle de la gamme ZE poura comme sa cousine ci dessous redistribuer son énergie ?Je me répond Non même si Renault et Nissan sont partenaire,plus tard sûrement une fois la technologie maitrisé."
55,55,Sympa la vidéo ! 
56,56,Une petite version R.S.? Merci @Cliomax 
57,57,t'as oublié la gordini 
58,58,  
59,59,perfs de la RS ?
60,60,
61,61,
62,62,"210 km, puis maintenant entre 100 et 150 km, pffff"
63,63,"Quelqu'un connait toutes les couleurs dispos (a part blanc, noir et bleu clair) ?"
64,64,"Sur le site Renault ZE, concernant la Zoé, Renault nous parle de 3 recharges :Rapide : 30 minutesAccélérée : 1 heureA domicile : de 6 à 9 heuresLe gap entre 1h et 6h est important.Est-t-il vraiment impossible de recharger en moins de 6 heures à domicile ?certes, je dors 6 heures par nuit, mais avec le chargeur intègre caméléon, j'aurais espéré un temps de recharge un peu plus court."
65,65,Peut être y a-t-il un bridage à 20A à domicile pour cause de sécurité ?
66,66,
67,67,
68,68,
69,69,
70,70,Marrant je ne voyais pas la voiture du futur en noir et blanc...
71,71,
72,72,Reprise du message précédent :
73,73,
74,74,"Des blancs clairs, des noirs foncés, heureusement que c'est pas l'inverse !"
75,75,toutes les photos sur netcarshowhttp://www.netcarshow.com/rena​ult/2013-zoe/
76,76,
77,77,Franchement j'adore !!
78,78,"J'ai un gros problème : j'arrive pas à savoir si je la préfère en noir intérieur noir, ou en blanc nacré intérieur clair, tellement les deux sont réussis !"
79,79,Elle est vraiment trop bellepar contre c'est vrai que ca fait cher la batterie par mois .... c'est pour ceux qui roule plutot bcp (qui font 2 pleins par mois à peut pret)si j'en prendrai une .... hum noir avec intérieur noir... ou blanc avec intérieur bleu ca claqueeeeeeeeeeeeeeeeeeeee
80,80,"ben disons 120 euros par mois (100 la location plus max 20 euros de recharge pour 1500 km)l'équivalent essence a 1.6 euros le litre pour 7l de consommation en mix aux 100 km ca fait 168€en diesel 1.45 le litre pour 6l de consomation mixteca fait 130.5€ toujours pour 1500 km par moisah cela va venir s'ajouter une révision beaucoup moins chère (pas d'huile, de filtre huile/carburant/bougie/courroi​e de distri...)bref si j'étais un utilisateur lambda moyen, a savoir entre 15 et 20k km par an ca pourrait me s'éduire.après reste le surcout total a l'achat qu'il faudra determiné exactement une fois que les offre réel seront connu.par contre comme les autres, elle a un charme de dingue cette voiture "
81,81,
82,82,
83,83,pas de ca chez moi malheureux   
84,84,"Turbo, vanne EGR... peut importe, tout ce qu'il faut retenir c'est que sur une auto thermique 80% des pannes sont d'origine MOTEUR"
85,85,
86,86,"Beaucoup de pannes moteurs ou périphériques, mais aussi beaucoup de pannes électroniques.Sur ce dernier point, la gamme ZE en est bardée."
87,87,La Zoe apparaît déjà dans le nouveau Cédric (la BD) mais en version concept   
88,88,http://images.planeterenault.c​om/16451/Pub_VE.jpg
89,89,
90,90,"Le bémol quand même sur la Zoé, c'est le fait que le moteur serve de transformateur AC-DC lors des recharges.Il sera donc beaucoup plus sollicité qu'un moteur électrique qui ne servirait qu'à la traction.Si pour rouler 1 heure à 50km, il faut charger pendant 3 heures, il y a un facteur 4.Sinon, l'électronique, notamment Renault, reste source d'inquiétude (1000€ la panne de tableau de Bord sur Scénic est une panne classique...une honte)A ce propos, quel est la durée de garantie de la gamme ZE ?J'espère que Renault passera au moins à 3 ans.Servir de Cobaye sur une nouvelle technologie avec une garantie de 2 ans ne me semblerait pas très raisonnable."
91,91,"Nouvelle technologie? Ou est la nouvelle technologie dans cette voiture, le moteur électrique? ca existe depuis plus de 100 ans et son principe n'a pas changé, la batterie Lithium-ion elle est en location, ce n'est donc pas le problème du client.J'ai cent fois plus confiance en un moteur électrique, 1 pièce en rotation, pas de frottement, un fonctionnement ultra simple, qu'en un moteur thermique ultra complexe. Pour le reste c'est kif kif, sauf que sur la voiture électrique il n'y a pas de boite de vitesse, pas d'embrayage, pas d'alternateur, pas de démarreur, pas de circuit de refroidissement, et j'en passe, donc autant de pannes potentiel en moins.Une garantie de trois ans peut être un atout psychologique pour quelque chose de nouveau, mais personnellement je préférerais l'avoir sur un essence ou diesel, que sur une électrique."
92,92,
93,93,"Bonne nouvelle en bas de la brochure twizy :Le réseau ZE s'engage :- véhicule garantie 2 ans kilométrage illimité- chaîne de traction électrique : 5 ans\100000km (Zoé, Fluence, Kangoo), 3 ans kilométrage illimité (Twizy)"
94,94,
95,95,"C'était vrai en 2011, je ne sais pas si c'est encore le cas en 2012. Et l'aide ne peut pas dépasser 20% du prix de la voiture. Donc 3000€ pour la Zoé."
96,96,
97,97,
98,98,"De toute manière, l'un des soucis des voitures récentes n'est pas le nombre de panne, mais surtout le prix des pannes, il n'y a plus de limite dans ce domaine.Un panne à 2000€ ou 3000€, ça fait mal, même si le véhicule est fiable par ailleurs.Une boite de vitesse, 5200€, c'est du délire.http://forum.autoplus.fr/autop [...] _171_1.htmTableau de bord de Scénic, 1000€panne  tableau de bordUn voyant d'Airbag sur Ford : 800€http://www.autotitre.com/forum [...] 2633p1.htmdirection assistée sur une simple Fiat Punto, 2000€http://forum.autoplus.fr/autop [...] et_6_1.htmetc...Donc même si une Zoé est fiable ""en général"", et cas de panne du chauffage à pompe à chaleur par exemple, les prix peuvent s'envoler.Et sur cet élément, la garantie Renault n'est que de 2 ans."
99,99,"Mon propos n'est pas de dire qu'il n'y a aucun risque, mais juste qu'il n'y aucune raison objectives d'avoir plus peur de la fiabilité d'une électrique, que d'une thermique, bien au contraire, et partant delà qu'il n'y a aucune raison (autres que psychologique, markéting...) d'avoir une garantie plus longue.Maintenant comme tout le monde bien evidement je préfère avoir une garantie la plus longue possible, que j’achète une voiture ou une machine a laver, a condition toutes fois que cela ne me coute pas un bras"
100,100,
101,101,"Je croyais que la prime de 5000€ était limitée à 20% du prix d'achat du véhicule.Du coup étrange que Renault annonce 15700€ ""prime de 5000 euros déduits""... Il doit y avoir une subtilité."
102,102,5000 c'est 20% de 25000 a moins que   
103,103,
104,104,"20 700€ c'est le prix de la voiture sans la batterie, mais la prime est calculé sur le prix de la voiture batterie comprise. "
105,105,"Il est clair que pour un Aslacien, la Zoé à 10700€ est une affaire à saisir d'urgence."
106,106,"SalutQuelques photos de genève. Belle voiture. Intérieur jolie, mais à la finition moyenne. En tout cas c'est plastique dur. Peut être pour le poids. Zéro protection carrosserie, c'est jolie, mais pour une citadine...Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 vote"
107,107,
108,108,Reprise du message précédent :
109,109,pas besoin de protection carrosserie c'est moche   
110,110,
111,111,
112,112,
113,113," Allez de la bonne bière, des frites a gogo   "
114,114,
115,115,
116,116,
117,117,"Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteLa Renault Zoé déjà copiée en Chine !On sait l'inspiration des designers chinois parfois plus proche de l'exercice de photocopiage que de la création pure. Le dernier exemple en date ne changera pas l'idée que l'on se fait ici de la créativité automobile locale puisque la Greenwheel J0 n'est rien d'autre qu'un clone de Renault Zoé.Notre copiage chinois du jour (oui les cas sont nombreux) est remarquable dans le sens où il parvient à « s'inspirer » d'un modèle qui vient d'être dévoilé lors du salon de Genève. Vous n'avez pas besoin de moi pour remarquer que cette Greenwheel J0 est une copie éhontée de la Renault Zoé qui n'est pas encore commercialisée ! On comprend bien que les « designers » de la marque n'étaient pas dans le secret des dieux mais qu'ils ont travaillé sur la base du concept très proche de la série dévoilé par Renault voilà plus d'un an pour « imaginer » leur nouveau modèle.Le plus marrant de l'histoire est que ces photos proviennent de l'Office des brevets local où ont été déposé ces documents servant à protéger les droits de propriété intellectuelle du design de ce futur modèle qui sera lui aussi 100% électrique. Car, Shenzhen Greenwheel VE est une société spécialisée dans la transformation de voitures thermiques en modèles électriques mais également dans la construction de voiturettes elles aussi électriques."
118,118,pas cool
119,119,Ce n'est que du virtuel pour le moment...ils ont juste protégé le dessin en Chine.
120,120,
121,121,"Les sons artificels disponibles! ""Z.E. Voice SPORT"" :http://soundcloud.com/renaultz [...] or-renault""Z.E. Voice GLAM"" :http://soundcloud.com/renaultz [...] enault-zoe""Z.E. Voice PURE"" :http://soundcloud.com/renaultz [...] enault-zoe"
122,122,Bah franchement heureusement qu'à partir de 25km/h le bruit de roulement couvrira ça 
123,123,http://www.autoexpress.co.uk/c [...] t_zoe.html
124,124,Très sympa sur ces dernières photos cette petite Zoé Pas d'accoudoir central AV de dispo?
125,125,"Bonjour à tous,Très intéressante cette Renault Zoé. Et mignonne, en plus. Un grand bravo à Renault, d'autant que je ne suis pas fan de leurs productions d'habitude.Mais cette technologie soulève des questions essentielles auxquelles je n'ai pas encore trouvé de réponse :- Avec un plafond de 1000 km par mois, la Renault Zoé coûte 79 € de location de batteries + 1,25 € d'EDF (j'extrapole à partir du Twizy) soit un total compris entre 90 et 100 € mensuels. Or pour le même kilométrage une petite citadine diesel (je compte 6l/100km) coûte finalement pareil voire moins cher à la pompe. Et lorsque vous ne roulez pas avec cette dernière (en vacances à l'étranger par exemple), vous ne dépensez pas ; avec Zoé il y a toujours 79 €/mois incompressibles. Et tout ceci en partant du principe qu'on roulera effectivement jusqu'au plafond de 1000 km/mois, ce qui n'arrive pas : c'est soit moins (et l'écart se creusée davantage) soit plus ; et dans ce cas si vous dépassez ce plafond, vous devez payer plus cher la location des batteries et le calcul est encore plus handicapant. Si économies de consommation il y a, ce sera au global, en prenant en compte l'entretien et la révision (il n'y aura guère que les pneus et les plaquettes de frein à changer). Mais le ""coût à la pompe"" ne disqualifie pas d'office les citadines diesel face à la Renault Zoé… dommage.- Les batteries Lithium-ion, comme toutes les batteries, s'usent avec le temps. Au bout d'un certain nombre de cycles, elles perdent toute autonomie, jusqu'à ne plus en avoir du tout. Quelle est la durée de vie des batteries de Zoé ? Au bout de combien de cycles atteint-on 50 % de la capacité d'origine ? Par exemple, au bout des 3 ans de location, faudra-t-il automatiquement se réengager sur un nouvel abonnement avec des batteries neuves ou leur durée de vie réelle sera plus longue ? Car si les batteries tiennent correctement durant, disons 4 ans, ça fait un an à rouler quasi gratos. A mettre alors en relation avec mon point précédent.- Le moteur électrique est garantie 5 ans. C'est bien. Ne pas oublier qu'il tourne aussi durant les phases de recharge, il sera donc très sollicité. Au-delà de la garantie, quand il crame, faut-il remplacer tout ou partie du moteur ? Quel sera alors le coût d'un tel remplacement dans l'absolu, et relativement par rapport à la valeur en cours de la voiture ?"
126,126,TRES bonnes questions ! 
127,127,
128,128,Genèse de la Renault Zoé (turbo.fr)http://www.turbo.fr/emission-t [...] -2012.html
129,129,
130,130,les sièges bleus   sinon le reste de l'auto 
131,131,super ce topic avec plein d'info de photo et de vidéo    et cette ZOE 
132,132,"J'adore la bouille de cette voiture, elle est très plaisante à regarder ... Monsieur RENAULT, faites-nous toute la gamme dans ce genre là SVP !!!"
133,133,"Croisée aujourd'hui sur la N104 a coté de Monthlery,blanche a damier noir pour casser la ligne.... Essais grandeur nature donc...Je la voyait plus petite, mais, elle est volumineuse tout de même....."
134,134,"y'en a plusieurs qui tournent en RP.grosso modo elle a un volume de Modus, carrosserie de berline mais hauteur de minispace pour caser les batteries sous le plancher."
135,135,"A propos il y en a qui ont commander une Renault Zoé sur le FA    .J'ai comparer entre la Zoé et la Yaris Hybride a l’époque et j'ai commander une Yaris HSD, a cause de la location des batteries bien trop cher pour le nombres de kilomètres que l'on faisait, et oui j'ai calculer que par mois on avait besoin de 25 euros d'essence et la location est a 79 euros pour la Zoé, sans parler consommation electrique."
136,136,"25 € d'essence par mois, soit environ 15 litres, soit 300 km ? soit moins de 4000 km par an ? Une Yaris (ou autre) en essence ne valait pas plus le coût ?"
137,137,cepafo aussi
138,138,
139,139,"Pour trouver les bornes de rechargeCitation :chargemap.com : propose par exemple aujourd’hui 149 lieux de recharge sur Paris intra-muros. Le site fournit la liste des emplacements publics et semi-publics destinés à recharger les voitures électriques. La base de données est mise à jour régulièrement pour offrir des informations précises, fiables et détaillées aux utilisateurs. Un plan Google maps affiche les points de recharge.Hybrelec.com : la même chose mais sur un mode communautaire, le plugsurfing (voir encadré)borneselec.fr offre les meilleures adresses de bornes de recharge. Propose la liste des bornes de recharge avec les adresses exactes et leur distance en km. Il mentionne également la présence et la disponibilité d’un parking. Il propose par ailleurs le nombre de prises disponibles pour les deux et les quatre roues. Pour accéder à ces informations, il faut entrer sa position dans la case « recherche ».http://www.consoglobe.com/voit [...] harge-cg/2"
140,140,La Renault Zoé ZE passe l’épreuve du froidl'article : http://www.avem.fr/actualite-l [...] -3162.html
141,141,bonsoir voici des photos de la zoepeut etre que certaine photos sont deja posté sur fa   
142,142,
143,143,
144,144,Reprise du message précédent :
145,145,a m..de 
146,146,voilaVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 votejolie volant   Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 votebof bof les attaches de ceinture en vrac...comme ma clio qui date de 1996   Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 votebelle jantesVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 votedessous   Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteZoe a Cannes   Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 vote tres belle voiture!!
147,147,je la trouve vraiment magnifique et le design intérieur est plus que parfait 
148,148,
149,149,a si justement il on tous changé le style Renault je trouve   
150,150,
151,151,en tout qu'à moi j’approuve      et le blanc sa fait classe   
152,152,
153,153,tu en a marre du blanc ? tu habite dans un hosto ?   
154,154,
155,155,oui c'est vrai ta clio ta twingo   
156,156,en parlant couleur y'a quoi comme couleur sur cette Zoe?   
157,157,puis en parlant de couleur blanche je parlais de l’intérieur    tant que au couleur des modèle quelque part sur ce topic on voit les différente couleur   
158,158,Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 vote
159,159,elle marchent pas tes photos   
160,160,
161,161,a si sa y est    belle 
162,162,
163,163,oui c'est un modèle qui ne sera pas énormément venue :/  sinon peut être que Renault en proposera d'autre
164,164,
165,165,oui il faudra voir par la suite
166,166,sympa la série de photos 
167,167,"super cette série de photos, j'adore la couleur bleupar contre c'est quoi les grosses têtes sur la vitre de la banquette sur une photo looool"
168,168,
169,169,
